2047	5883	12373	8255		000000000000
10239	1787	12373	8255		000000000001
-2049	5883	4181	63		000000000010
12287	-261	6229	2111		000000000011
2047	9979	8277	12351		000000000100
10239	1787	8277	12351		000000000101
-1	12027	-1963	6207		000000000110
10239	5883	-4011	8255		000000000111
4095	12027	10325	2111		000000001000
12287	3835	10325	2111		000000001001
4095	12027	2133	-6081		000000001010
14335	5883	4181	-4033		000000001011
2047	14075	4181	8255		000000001100
12287	12027	2133	6207		000000001101
4095	16123	-6059	2111		000000001110
14335	9979	-4011	4159		000000001111
-6145	1787	12373	8255		000000010000
4095	-261	14421	6207		000000010001
-10241	1787	8277	-4033		000000010010
-1	-4357	10325	-1985		000000010011
-6145	5883	8277	12351		000000010100
4095	-261	10325	14399		000000010101
-10241	5883	4181	4159		000000010110
2047	1787	85	8255		000000010111
-2049	5883	16469	63		000000011000
8191	3835	14421	-1985		000000011001
-2049	5883	8277	-8129		000000011010
6143	1787	8277	-8129		000000011011
-1	12027	10325	6207		000000011100
8191	7931	10325	6207		000000011101
-2049	14075	85	-4033		000000011110
8191	7931	2133	-1985		000000011111
2047	-2309	12373	4159		000000100000
10239	-6405	12373	4159		000000100001
-2049	-2309	4181	-8129		000000100010
10239	-6405	4181	-4033		000000100011
4095	3835	6229	10303		000000100100
12287	-261	6229	10303		000000100101
-1	3835	-6059	2111		000000100110
10239	-2309	-4011	4159		000000100111
6143	5883	12373	-4033		000000101000
12287	3835	10325	-1985		000000101001
6143	5883	4181	-12225		000000101010
14335	-2309	4181	-8129		000000101011
8191	12027	2133	2111		000000101100
14335	5883	4181	4159		000000101101
6143	9979	-4011	-8129		000000101110
14335	1787	-4011	-4033		000000101111
-6145	-2309	16469	63		000000110000
4095	-8453	14421	2111		000000110001
-8193	-8453	6229	-6081		000000110010
4095	-12549	10325	-6081		000000110011
-8193	-261	10325	6207		000000110100
6143	-6405	8277	8255		000000110101
-8193	-261	-1963	-1985		000000110110
4095	-8453	2133	-1985		000000110111
-1	-261	14421	-6081		000000111000
8191	-4357	14421	-6081		000000111001
-1	-261	6229	-14273		000000111010
6143	-6405	4181	-12225		000000111011
-2049	5883	8277	-4033		000000111100
10239	1787	8277	4159		000000111101
-2049	5883	85	-8129		000000111110
10239	-2309	-4011	-8129		000000111111
-2049	-2309	8277	12351		000001000000
8191	-4357	6229	14399		000001000001
-4097	-261	-1963	6207		000001000010
10239	-6405	85	8255		000001000011
-1	3835	-1963	14399		000001000100
6143	1787	85	16447		000001000101
-2049	5883	-12203	12351		000001000110
6143	1787	-8107	12351		000001000111
6143	5883	4181	4159		000001001000
14335	1787	4181	8255		000001001001
4095	7931	-6059	-1985		000001001010
14335	1787	-4011	63		000001001011
2047	9979	-4011	12351		000001001100
12287	3835	-1963	10303		000001001101
4095	12027	-10155	6207		000001001110
14335	5883	-8107	4159		000001001111
-6145	-6405	8277	12351		000001010000
2047	-10501	8277	12351		000001010001
-12289	-4357	2133	2111		000001010010
-1	-8453	2133	6207		000001010011
-8193	-261	2133	14399		000001010100
2047	-2309	4181	16447		000001010101
-8193	-261	-6059	10303		000001010110
-1	-4357	-6059	10303		000001010111
-2049	1787	8277	4159		000001011000
8191	-4357	10325	6207		000001011001
-6145	1787	85	-4033		000001011010
6143	-6405	85	63		000001011011
-2049	9979	85	12351		000001011100
6143	1787	85	12351		000001011101
-4097	7931	-6059	2111		000001011110
6143	1787	-8107	4159		000001011111
2047	-6405	4181	8255		000001100000
10239	-10501	4181	8255		000001100001
-2049	-6405	-4011	63		000001100010
10239	-14597	85	63		000001100011
-1	-4357	-1963	14399		000001100100
10239	-6405	85	12351		000001100101
-2049	-2309	-12203	8255		000001100110
10239	-6405	-8107	4159		000001100111
4095	-261	2133	2111		000001101000
16383	-4357	6229	2111		000001101001
6143	-2309	-4011	-8129		000001101010
14335	-6405	-4011	-4033		000001101011
6143	5883	-4011	8255		000001101100
16383	-261	-1963	6207		000001101101
6143	5883	-12203	63		000001101110
14335	1787	-8107	63		000001101111
-6145	-10501	8277	4159		000001110000
4095	-12549	10325	6207		000001110001
-8193	-12549	2133	-1985		000001110010
4095	-16645	2133	-1985		000001110011
-6145	-6405	4181	12351		000001110100
4095	-12549	2133	10303		000001110101
-10241	-6405	-8107	4159		000001110110
-1	-12549	-6059	6207		000001110111
-4097	-4357	10325	-1985		000001111000
10239	-10501	8277	-4033		000001111001
-2049	-6405	85	-12225		000001111010
6143	-10501	85	-8129		000001111011
-2049	1787	85	4159		000001111100
8191	-4357	2133	6207		000001111101
-4097	-261	-10155	-1985		000001111110
8191	-4357	-10155	-1985		000001111111
-2049	1787	12373	8255		000010000000
8191	-4357	10325	10303		000010000001
-6145	1787	4181	4159		000010000010
8191	-4357	2133	2111		000010000011
-2049	5883	4181	12351		000010000100
8191	3835	2133	14399		000010000101
-6145	5883	-4011	8255		000010000110
8191	3835	-6059	10303		000010000111
2047	5883	8277	4159		000010001000
14335	1787	8277	4159		000010001001
-1	7931	2133	-6081		000010001010
12287	3835	2133	-6081		000010001011
4095	12027	2133	10303		000010001100
